NaN,-89,-96,-77,-86,-85,NaN,NaN,-84,-81,NaN,NaN,0,40
NaN,NaN,-94,-94,-92,-82,NaN,NaN,-88,-82,-92,NaN,0,51
-85,-85,-84,-84,-83,NaN,NaN,-92,NaN,NaN,NaN,NaN,1,25
NaN,-86,-85,-84,-82,NaN,NaN,-92,NaN,NaN,NaN,NaN,1,46
NaN,NaN,-89,-79,-84,-86,NaN,-92,NaN,NaN,NaN,NaN,2,55
NaN,NaN,-78,-79,-87,-84,NaN,-95,NaN,NaN,NaN,NaN,2,67
NaN,-92,-88,-84,-77,NaN,-90,NaN,NaN,NaN,NaN,NaN,3,34
NaN,NaN,-89,-94,-81,-84,NaN,-93,NaN,NaN,NaN,NaN,3,54
NaN,NaN,-83,-89,-88,-87,-93,NaN,NaN,NaN,NaN,NaN,3,60
-92,-89,NaN,NaN,NaN,NaN,-75,-81,-85,NaN,NaN,NaN,4,3
NaN,NaN,NaN,NaN,NaN,NaN,-89,-85,-75,NaN,NaN,-93,4,89
